Comune;Provincia;Regione;Longitudine;Latitudine;Tipo;Nome
CAVA DE' TIRRENI;SALERNO;Campania;14.7099662004;40.6992999;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7056100007;40.7109071996;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7038990003;40.7134902003;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7057307;40.7101021001;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7061062007;40.7093234998;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7009255998;40.7167444006;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7226247996;40.7090524996;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.6954624993;40.7044391002;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7092531001;40.7015306996;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7101726998;40.7000238005;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7081139997;40.7035036996;Autobus;
CAVA DE' TIRRENI;SALERNO;Campania;14.7050660003;40.7001227999;Autobus;Capolinea Viale Crispi
CELLE DI BULGHERIA;SALERNO;Campania;15.4018926996;40.0949197995;Autobus;
CELLE DI BULGHERIA;SALERNO;Campania;15.3854283993;40.0946702004;Autobus;
CELLE DI BULGHERIA;SALERNO;Campania;15.3718686999;40.0956549006;Autobus;
CELLE DI BULGHERIA;SALERNO;Campania;15.3814693999;40.0940505002;Autobus;
CENTOLA;SALERNO;Campania;15.2751288994;40.0307924001;Autobus;
CENTOLA;SALERNO;Campania;15.3462373996;40.0904657993;Autobus;Centola Scalo
CONCA DEI MARINI;SALERNO;Campania;14.5754652002;40.6149493;Autobus;Grotta Smeraldo
EBOLI;SALERNO;Campania;15.0859611997;40.6205550002;Autobus;
EBOLI;SALERNO;Campania;15.0716349;40.6162335004;Autobus;
FISCIANO;SALERNO;Campania;14.7903107998;40.7708848993;Autobus;
FURORE;SALERNO;Campania;14.5538398993;40.6186394994;Autobus;
FURORE;SALERNO;Campania;14.5575163999;40.6223517001;Autobus;
FURORE;SALERNO;Campania;14.5484032006;40.6199672003;Autobus;
FURORE;SALERNO;Campania;14.5471220006;40.6223327001;Autobus;SITA
FUTANI;SALERNO;Campania;15.3221739008;40.1523289999;Autobus;Futani
GIFFONI VALLE PIANA;SALERNO;Campania;14.9201998002;40.7507768999;Autobus;
GIFFONI VALLE PIANA;SALERNO;Campania;14.9373790999;40.7123182001;Autobus;
GIFFONI VALLE PIANA;SALERNO;Campania;14.9333504999;40.7124016002;Autobus;
GIFFONI VALLE PIANA;SALERNO;Campania;14.9262467008;40.6904919001;Autobus;
MAIORI;SALERNO;Campania;14.6404945997;40.6482580006;Autobus;
MAIORI;SALERNO;Campania;14.6958496998;40.6391137006;Autobus;
MAIORI;SALERNO;Campania;14.6903330994;40.6372583999;Autobus;
MINORI;SALERNO;Campania;14.6282172005;40.6495026004;Autobus;
MINORI;SALERNO;Campania;14.6280177001;40.6495294999;Autobus;
MORIGERATI;SALERNO;Campania;15.5287206;40.1352106003;Autobus;
NOVI VELIA;SALERNO;Campania;15.2870717993;40.2245968008;Autobus;Novi Velia
OLEVANO SUL TUSCIANO;SALERNO;Campania;15.0256311994;40.6781976999;Autobus;
PISCIOTTA;SALERNO;Campania;15.2337438001;40.1088754006;Autobus;
PISCIOTTA;SALERNO;Campania;15.2415051008;40.1304597999;Autobus;
PISCIOTTA;SALERNO;Campania;15.2246693992;40.1055107004;Autobus;Marina di Pisciotta
PISCIOTTA;SALERNO;Campania;15.2433491003;40.0914530001;Autobus;Pisciotta Scalo
PONTECAGNANO FAIANO;SALERNO;Campania;14.8880567001;40.6576350004;Autobus;casa
PONTECAGNANO FAIANO;SALERNO;Campania;14.8881294;40.6576662001;Autobus;via delle sirene
POSITANO;SALERNO;Campania;14.4780968998;40.6261969007;Autobus;
POSITANO;SALERNO;Campania;14.4821906001;40.6295716001;Autobus;
